option,change,cavity_reaching,passthrough_c0,vetoed_c0,new_leak,still_vetoed,leak,identity_leak_pass,identity_veto_pass,atm511_T_ratio,atm511_T_ratio_ci_low,atm511_T_ratio_ci_high,mass_kg,dmass_kg,mass_saved_kg,predicted_atm511_w2_cps,predicted_B_total_cps,F3_scale,predicted_F3_20d,delayed_note,caveats,pareto_efficient
O1,remove W only,717428,18781,698647,2411,696236,21192,True,True,1.1283744209573505,1.1135044243631973,1.1434368724204973,337.3221725597,-53.87667474,53.87667474,0.001316677544326713,0.005199797544326713,1.014723055845631,1.3797798224166553e-05,W-removal family evidence: 57.824->31.308 Bq; O1 itself is not a delayed transport result,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,True
O2,side 40->30 mm,717428,18781,698647,3217,695430,21998,True,True,1.1712901336457058,1.1561467975199553,1.1866254650596688,324.47460293224316,-66.72424436745683,66.72424436745683,0.001366755031148501,0.005249875031148501,1.0195975745797026,1.3864079980104963e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,True
O3,side 40->20 mm,717428,18781,698647,12559,686088,31340,True,True,1.6687077365422502,1.6507341451305846,1.6868679964385835,260.4517449764242,-130.74710232327578,130.74710232327578,0.0019471816836164207,0.005830301683616421,1.074483682926148,1.4610399326956588e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,False
O4,bottom 40->30 mm,717428,18781,698647,974,697673,19755,True,True,1.0518609232735212,1.0374927341329472,1.0664223866597418,376.9742334997,-14.224613799999986,14.224613799999986,0.0012273954741494064,0.005110515474149407,1.005973788032175,1.3678829180146304e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,True
O5,bottom 40->20 mm,717428,18781,698647,3962,694685,22743,True,True,1.2109578829668282,1.1955667431270365,1.22654059329622,362.7496196997,-28.449227599999972,28.449227599999972,0.0014130425344763323,0.005296162534476332,1.0240825437101968,1.3925064796353771e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,False
O6,top annulus 40->10 mm,717428,18781,698647,2324,696323,21105,True,True,1.123742079761461,1.1089019256402441,1.1387747383590263,377.87805559969996,-13.32079170000003,13.32079170000003,0.0013112721580320536,0.0051943921580320535,1.014195497200121,1.3790624692728366e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,False
O7,top annulus removed,717428,18781,698647,3564,695083,22345,True,True,1.1897662531281614,1.1745069320521548,1.205217371633161,373.43779169969997,-17.76105560000002,17.76105560000002,0.001388314445450189,0.005271434445450189,1.0216889962408529,1.389251829528462e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,False
O8,"side40/bottom30/top10, no W (LW4 profile)",717428,18781,698647,8472,690175,27253,True,True,1.4510941909376498,1.4342907950470218,1.4680865857182217,309.7767670597,-81.42208024000001,81.42208024000001,0.0016932527895213247,0.005576372789521325,1.0508245503169296,1.4288691905389482e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,True
O9,"side30/bottom30/top30, no W (LW5 profile)",717428,18781,698647,11038,687609,29819,True,True,1.5877216335658377,1.570172804922456,1.6054579979672967,251.93305049224315,-139.26579680745684,139.26579680745684,0.0018526806197753046,0.005735800619775305,1.0657401667037811,1.4491508490771334e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,True
O10,"side30/bottom30/top10, no W",717428,18781,698647,14050,684597,32831,True,True,1.7480964804855972,1.729717807332796,1.766660971955641,243.05252269224314,-148.14632460745685,148.14632460745685,0.0020398188211490334,0.005922938821149033,1.0829862291390224,1.4726013549340772e-05,BGO activation is self-vetoing; mass reduction is monotonically favorable; not quantified here,frozen e+/n/residual; coupled straight-ray screening; Al3 and Kapton retained,True
