local_id,status,init_energy_keV,depth_projection_cm,depth_distance_cm,first_hit_category,first_hit_volume,plotted
121496,active veto reject,1.287,20.203621986869145,28.950965638487162,outer_mechanics,MuMetal_MagShield_Outer_Cylinder_2mm,True
167319,active veto reject,374.36,2.239451972161141,15.370406826344436,outer_mechanics,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,True
457587,active veto reject,39.166,5.857204836848166,6.574821443963249,csi_active,CsI_TopAnnulus_Segment_07,True
506085,active veto reject,107.802,20.210046446958632,20.81470443870385,window_or_side_port,Shield_4K_Al_side_window_bottom_cap,True
620364,active veto reject,0.58,12.780905579854533,12.780905582641196,other,ColdPlate_CP_100mK_intercept,True
737005,final pass,11.383,4.46752846009047,4.834954001367998,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
745151,final pass,28883.468,8.540163528086161,8.540163539746423,other,ColdPlate_CP_100mK_intercept,True
875954,active veto reject,3.694,0.48513016246642304,0.7563206883488164,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
10145,missing coordinate,0.0,,,g10_passive,G10_Support_Ring_60K_Top,False
272055,active veto reject,189.653,5.380624199508784,6.283822745248476,csi_active,CsI_Bottom_Quadrant_00,True
296032,active veto reject,0.036,7.197657108613597,7.197657122446369,csi_active,CsI_Side_Segment_06,True
804987,active veto reject,0.628,-8.002746347499979e-06,0.00011916435599864678,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,False
305203,active veto reject,1.951,1.1749749827488476,2.578454946681927,outer_mechanics,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,True
314403,active veto reject,0.0,-18.281424920234038,18.281424920485932,window_or_side_port,Shield_60K_Al_side_window_side_wall_above_side_port,False
457664,active veto reject,0.157,2.616594687004451,2.7687984118475777,csi_active,CsI_Side_Segment_01,True
556865,missing coordinate,116.244,,,other,ColdPlate_4K,False
681084,active veto reject,56.234,5.67156566252951,5.9624010250952395,csi_active,CsI_Side_Segment_01,True
714779,active veto reject,18.446,19.421493602372347,19.643436055174938,other,Cu_50mK_StillLike_Can_bottom_cap_2mm,True
191496,final pass,1.635,-6.829088093666759,6.829088097799644,g10_passive,G10_Support_Ring_Still_4K,False
192808,active veto reject,0.749,0.0005482473157659012,0.0005824667069533201,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
264586,active veto reject,0.0,-16.47894767045276,16.478947670600096,g10_passive,G10_Support_Ring_4K_60K,False
299408,active veto reject,2.206,8.79853724638107,14.431064559225069,outer_mechanics,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,True
533867,missing coordinate,0.0,,,other,ColdPlate_Still_0p7K,False
752100,active veto reject,0.098,3.9719413209141585,3.990385449934628,csi_active,CsI_Bottom_Quadrant_02,True
773525,active veto reject,3.332,1.8764785853332095,1.9503002874846036,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
