topic,metric,mass_model_value,geo_opt_value,geo_over_mass,relative_change_percent,unit,interpretation
activation_total,fixed_total_activity,141.83343806309037,106.48226813815282,0.7507557427380936,-24.924425726190634,Bq,GeoOpt S1/BPE/W5 stack lowers fixed day-15 activation versus Mass_model_511
activation_internal,internal_activity_excluding_added_geoopt_layers,141.83343806309037,105.56481472207452,0.7442872157912238,-25.57127842087762,Bq,"Internal activation is reduced, but this is stack-level evidence, not isolated BPE-only causality"
activation_CsI,CsI_activity,89.46492664506488,63.01977074482,0.7044075606839648,-29.55924393160352,Bq,CsI activation reduction is consistent with neutron-shielding benefit
added_layers_activity,geo_added_layers_activity,,0.917453416078293,,,Bq,Activity created inside added GeoOpt layers themselves
neutron_rpip,weighted_internal_rpip_points,40687.5,30769.5,0.7562396313364055,-24.376036866359453,weighted RPIP points,Neutron interaction proxy count in internal materials is lower in GeoOpt stack
neutron_rpip,weighted_CsI_rpip_points,32453.625,23927.5,0.7372828150938454,-26.27171849061546,weighted RPIP points,CsI neutron interaction proxy count is lower in GeoOpt stack
causality_caveat,BPE_only_AB_test,,,,,,"No otherwise-identical no-BPE transport was run; claim should be shield-stack effect, not pure BPE-only proof"
activation_category_csv,fixed_total_activity,141.833438063,106.482268138,0.750755742738,-24.9244257,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,internal_activity_excluding_geoopt_added_layers,141.833438063,105.564814722,0.744287215791,-25.5712784,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,geoopt_added_layers_activity,0,0.917453416078,,,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,CsI_activity,89.4649266451,63.0197707448,0.704407560684,-29.5592439,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,common_internal_volume_names_activity,141.770350276,105.564814722,0.744618423502,-25.5381576,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:cold_plates,13.3787988552,11.5859321759,0.86599195498,-13.4008045,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:csi,89.4649266451,63.0197707448,0.704407560684,-29.5592439,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:geoopt_bpe,0,0.0474851426827,,,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:geoopt_plastic_skin,0,0.198559363278,,,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:geoopt_w_baffle,0,0.671408910118,,,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:other_internal,3.64837482104,3.18169118408,0.872084514378,-12.7915486,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:outer_mechanics,22.2803153549,16.2322110778,0.72854494289,-27.1455057,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:passive_w_or_collimator,8.05238330273,8.00648777627,0.994300379809,-0.569962019,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:tes,0.085515236574,0.0661811936505,0.773911133289,-22.6088867,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_category_csv,category:window,4.92312384757,3.47254056953,0.705353080087,-29.464692,Bq,copied from activation_category_comparison_groundstate_fixed.csv
activation_top_nuclides,I-128,88.4668639531,61.8164095618,0.698752129324,-30.1247871,Bq,top contributor
activation_top_nuclides,Al-28,17.7361314735,13.0766011997,0.737285987043,-26.2714013,Bq,top contributor
activation_top_nuclides,Cu-64,17.0747426851,14.8507694675,0.869750703792,-13.0249296,Bq,top contributor
activation_top_nuclides,Mg-27,5.90223548614,4.39683172928,0.744943460762,-25.5056539,Bq,top contributor
activation_top_nuclides,Cu-66,3.95458240307,3.52798325257,0.892125360654,-10.7874639,Bq,top contributor
activation_top_nuclides,W-187,1.05018473,1.9064144692,1.81531345367,81.5313454,Bq,top contributor
activation_top_nuclides,Cs-134,1.52780497684,1.20825996382,0.79084698776,-20.9153012,Bq,top contributor
activation_top_nuclides,Na-24,1.11310076421,0.931137346084,0.836525655198,-16.3474345,Bq,top contributor
activation_top_volumes,CsI_Bottom_Quadrant_03,8.29763732381,5.65571434326,0.681605392301,-31.8394608,Bq,csi
activation_top_volumes,CsI_Bottom_Quadrant_00,8.11888259073,5.73604752024,0.706507016962,-29.3492983,Bq,csi
activation_top_volumes,CsI_Bottom_Quadrant_01,7.52354931788,4.96843937546,0.660385034449,-33.9614966,Bq,csi
activation_top_volumes,CsI_Bottom_Quadrant_02,7.49249368022,5.13396915514,0.685215013086,-31.4784987,Bq,csi
activation_top_volumes,CsI_Side_Segment_07,7.24183460953,5.31497521151,0.733926621926,-26.6073378,Bq,csi
activation_top_volumes,CsI_Side_Segment_00,7.19097935509,5.22545862643,0.726668561874,-27.3331438,Bq,csi
activation_top_volumes,CsI_Side_Segment_01,6.59220940535,4.77160826282,0.723825347378,-27.6174653,Bq,csi
activation_top_volumes,CsI_Side_Segment_06,6.59008245681,4.82099785697,0.731553495509,-26.8446504,Bq,csi
