energy_lo_keV,energy_hi_keV,energy_center_keV,prompt_raw_cps_per_keV,prompt_raw_events_per_bin,prompt_active_cps_per_keV,prompt_active_events_per_bin,prompt_compton_cps_per_keV,prompt_compton_events_per_bin,delayed_raw_cps_per_keV,delayed_raw_events_per_bin,delayed_active_cps_per_keV,delayed_active_events_per_bin,delayed_compton_cps_per_keV,delayed_compton_events_per_bin,science_raw_cps_per_keV,science_raw_events_per_bin,science_active_cps_per_keV,science_active_events_per_bin,science_compton_cps_per_keV,science_compton_events_per_bin
480.0,480.5,480.25,0.005426861704756938,4,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.00021508845512717106,4,0.00021508845512717106,4,0.00016131634134537829,3
480.5,481.0,480.75,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
481.0,481.5,481.25,0.004069928610055302,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
481.5,482.0,481.75,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179277e-05,1,5.377211378179277e-05,1,5.377211378179277e-05,1
482.0,482.5,482.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00016131634134537823,3,0.00016131634134537823,3,0.00016131634134537826,3
482.5,483.0,482.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00010754422756358549,2,0.00010754422756358549,2,0.00010754422756358549,2
483.0,483.5,483.25,0.005428065553943609,4,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.0001075442275635856,2,0.0001075442275635856,2,5.3772113781792744e-05,1
483.5,484.0,483.75,0.0027133176413129748,2,0.0013566588206564874,1,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0001075442275635856,2,0.0001075442275635856,2,0.0001075442275635856,2
484.0,484.5,484.25,0.0013566588206564874,1,0.0,0,0.0,0,0.000284614336970809,1,0.0,0,0.0,0,0.0001613163413453784,3,0.0001613163413453784,3,0.0001613163413453784,3
484.5,485.0,484.75,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
485.0,485.5,485.25,0.004070202884100451,3,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
485.5,486.0,485.75,0.001349100723185441,1,0.0013491007231854427,1,0.0013491007231854427,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
486.0,486.5,486.25,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.37721137817928e-05,1,5.37721137817928e-05,1,5.37721137817928e-05,1
486.5,487.0,486.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
487.0,487.5,487.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,5.37721137817928e-05,1
487.5,488.0,487.75,0.0027133176413129782,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
488.0,488.5,488.25,0.004062418364498423,3,0.0,0,0.0,0,0.000284614336970809,1,0.000284614336970809,1,0.000284614336970809,1,5.377211378179269e-05,1,5.377211378179269e-05,1,5.37721137817928e-05,1
488.5,489.0,488.75,0.006783294103282454,5,0.004069976461969462,3,0.0027133176413129748,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
489.0,489.5,489.25,0.0013566588206564908,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,0.0,0
489.5,490.0,489.75,0.005426861704756945,4,0.004070202884100451,3,0.004070202884100451,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
490.0,490.5,490.25,0.0013566588206564908,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
490.5,491.0,490.75,0.0013568852427874797,1,0.001356885242787478,1,0.0013568852427874763,1,0.000284614336970809,1,0.000284614336970809,1,0.000284614336970809,1,0.0,0,0.0,0,0.0,0
491.0,491.5,491.25,0.0027133176413129817,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
491.5,492.0,491.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
492.0,492.5,492.25,0.0040699764619694725,3,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.00010754422756358538,2,0.00010754422756358538,2,5.377211378179269e-05,1
492.5,493.0,492.75,0.0040699764619694725,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
493.0,493.5,493.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,0.0,0
493.5,494.0,493.75,0.0,0,0.0,0,0.0,0,0.000284614336970809,1,0.000284614336970809,1,0.000284614336970809,1,0.0,0,0.0,0,0.0,0
494.0,494.5,494.25,0.004062418364498416,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
494.5,495.0,494.75,0.002713317641312968,2,0.0013566588206564874,1,0.0013566588206564891,1,0.000284614336970809,1,0.0,0,0.0,0,0.00010754422756358538,2,0.00010754422756358538,2,5.377211378179269e-05,1
495.0,495.5,495.25,0.0013578626698431545,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
495.5,496.0,495.75,0.0,0,0.0,0,0.0,0,0.0005692286739416182,2,0.000284614336970809,1,0.000284614336970809,1,5.377211378179269e-05,1,5.377211378179269e-05,1,5.377211378179269e-05,1
496.0,496.5,496.25,0.0027135440634439567,2,0.0027135440634439636,2,0.0027135440634439636,2,0.00028461433697080877,1,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,0.0,0
496.5,497.0,496.75,0.0013578626698431545,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
497.0,497.5,497.25,0.002713317641312968,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00016131634134537807,3,0.00016131634134537807,3,0.00016131634134537807,3
497.5,498.0,497.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
498.0,498.5,498.25,0.001356658820656484,1,0.0013566588206564874,1,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
498.5,499.0,498.75,0.001356658820656484,1,0.0,0,0.0,0,0.00028461433697080877,1,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,5.377211378179269e-05,1
499.0,499.5,499.25,0.0027135440634439567,2,0.0013568852427874763,1,0.0013568852427874763,1,0.0005692286739416175,2,0.000284614336970809,1,0.000284614336970809,1,0.00016131634134537807,3,0.00016131634134537807,3,0.00010754422756358538,2
499.5,500.0,499.75,0.001356658820656484,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0001075442275635856,2,0.0001075442275635856,2,0.00010754422756358538,2
500.0,500.5,500.25,0.002713317641312968,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
500.5,501.0,500.75,0.004070202884100441,3,0.0013568852427874763,1,0.0013568852427874763,1,0.00028461433697080877,1,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,5.377211378179269e-05,1
501.0,501.5,501.25,0.004062418364498416,3,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.00016131634134537807,3,0.00016131634134537807,3,0.00010754422756358538,2
501.5,502.0,501.75,0.001356658820656484,1,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.00016131634134537807,3,0.00016131634134537807,3,0.00010754422756358538,2
502.0,502.5,502.25,0.001356658820656484,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,0.0,0
502.5,503.0,502.75,0.0013568852427874728,1,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.00010754422756358538,2,0.00010754422756358538,2,5.377211378179269e-05,1
503.0,503.5,503.25,0.002713317641312968,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
503.5,504.0,503.75,0.001356658820656484,1,0.0,0,0.0,0,0.00028461433697080877,1,0.000284614336970809,1,0.0,0,0.0,0,0.0,0,0.0,0
504.0,504.5,504.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,5.377211378179269e-05,1
504.5,505.0,504.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
505.0,505.5,505.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00010754422756358538,2,0.00010754422756358538,2,0.0001075442275635856,2
505.5,506.0,505.75,0.002713317641312968,2,0.0013566588206564874,1,0.0013566588206564874,1,0.0,0,0.0,0,0.0,0,0.00010754422756358538,2,0.00010754422756358538,2,0.00010754422756358538,2
506.0,506.5,506.25,0.0,0,0.0,0,0.0,0,0.00028461433697080877,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
506.5,507.0,506.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.377211378179269e-05,1,5.377211378179269e-05,1,5.377211378179269e-05,1
507.0,507.5,507.25,0.004069976461969452,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
507.5,508.0,507.75,0.004069976461969452,3,0.0,0,0.0,0,0.00028461433697080877,1,0.0002846143369708092,1,0.000284614336970809,1,0.0,0,0.0,0,0.0,0
508.0,508.5,508.25,0.0027135440634439567,2,0.0013568852427874763,1,0.0013568852427874763,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
508.5,509.0,508.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
509.0,509.5,509.25,0.001356658820656484,1,0.0,0,0.0,0,0.0005692286739416175,2,0.0005692286739416175,2,0.0002846143369708092,1,5.377211378179269e-05,1,5.377211378179269e-05,1,5.377211378179269e-05,1
509.5,510.0,509.75,0.0,0,0.0,0,0.0,0,0.00028461433697080877,1,0.00028461433697080877,1,0.00028461433697080877,1,0.00032263268269075614,6,0.00032263268269075614,6,0.00026886056890896345,5
510.0,510.5,510.25,0.004070202884100441,3,0.0013568852427874797,1,0.0,0,0.0005692286739416175,2,0.0005692286739416175,2,0.0005692286739416175,2,0.02425122331558882,451,0.02425122331558882,451,0.023122008926171143,430
510.5,511.0,510.75,0.10311154985258089,69,0.05426558739271803,40,0.05019493166435562,37,0.005976901076386995,21,0.0042692150545621315,15,0.0042692150545621315,15,0.7908264773885912,14707,0.7908264773885912,14707,0.775232564391879,14417
511.0,511.5,511.25,0.13156294947762667,83,0.04069771239189898,30,0.037982964479268314,28,0.005692286739416182,20,0.003130757706678905,11,0.0031307577066789034,11,0.7916868312102484,14723,0.7916868312102484,14723,0.7764155508961584,14439
511.5,512.0,511.75,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.022530515674607843,419,0.022530515674607843,419,0.021239984943842716,395
512.0,512.5,512.25,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00026886056890940147,5,0.00026886056890940147,5,0.00026886056890940147,5
512.5,513.0,512.75,0.0027133176413129956,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
513.0,513.5,513.25,0.0027133176413129956,2,0.0013566588206564978,1,0.001356658820656484,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
513.5,514.0,513.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
514.0,514.5,514.25,0.001349100723185448,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
514.5,515.0,514.75,0.0,0,0.0,0,0.0,0,0.0002846143369708079,1,0.00028461433697080964,1,0.00028461433697080964,1,0.0,0,0.0,0,0.0,0
515.0,515.5,515.25,0.0013566588206564978,1,0.0013566588206564978,1,0.001356658820656484,1,0.0002846143369708079,1,0.00028461433697080964,1,0.00028461433697080964,1,0.0,0,0.0,0,0.0,0
515.5,516.0,515.75,0.004070202884100482,3,0.0013566588206564978,1,0.001356658820656484,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
516.0,516.5,516.25,0.0013566588206564978,1,0.0,0,0.0,0,0.0002846143369708079,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
516.5,517.0,516.75,0.0027133176413129956,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
517.0,517.5,517.25,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
517.5,518.0,517.75,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
518.0,518.5,518.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
518.5,519.0,518.75,0.0027133176413129956,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
519.0,519.5,519.25,0.0027133176413129956,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
519.5,520.0,519.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
520.0,520.5,520.25,0.006783294103282489,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
520.5,521.0,520.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
